,Is Automatically Applied:,No,No,No,No,No,No,No,No,No,No
Item Name,Total Tags,16,9,2,6,11,11,4,4,14,2
,,Organic,Killable,Passive,Neutral,Hostile,Biped,Quadruped,Small,Medium,Large
Baboon Hawk,5,Organic,Killable,,Neutral,,Biped,,,Medium,
Bunker Spider,5,Organic,Killable,,Neutral,,,Quadruped,,Medium,
Flowerman,5,Organic,Killable,,,Hostile,Biped,,,Medium,
Spring Man,3,,,,,Hostile,Biped,,,Medium,
Earth Leviathan,3,Organic,,,,Hostile,,,,,Large
Mouth Dog,5,Organic,Killable,,,Hostile,,Quadruped,,Medium,
Forest Giant,4,Organic,,,,Hostile,Biped,,,,Large
Dress Girl,3,,,,,Hostile,Biped,,Small,,
Hoarding Bug,5,Organic,Killable,,Neutral,,Biped,,,Medium,
Blob,3,Organic,,,Neutral,,,,Small,,
Jester,3,,,,,Hostile,Biped,,,Medium,
Lasso Man,2,,,,,,Biped,,,Medium,
Red Locust Bees,3,Organic,,,Neutral,,,,,Medium,
Docile Locust Bees,3,Organic,,Passive,,,,,,Medium,
Manticoil,5,Organic,Killable,Passive,,,Biped,,Small,,
Masked,4,Organic,,,,Hostile,Biped,,,Medium,
Nutcracker,5,Organic,Killable,,,Hostile,Biped,,,Medium,
Centipede,4,Organic,Killable,,,Hostile,,,Small,,
Puffer,4,Organic,,,Neutral,,,Quadruped,,Medium,
Crawler,5,Organic,Killable,,,Hostile,,Quadruped,,Medium,
